Name,Rating,Review Count
Mobilní telefon Apple iPhone 16 Pro 128 GB pouštní titan,4.9,37
Mobilní telefon Apple iPhone 16 Pro 128 GB přírodní titan,5,29
Mobilní telefon Apple iPhone 16 Pro 128 GB černý titan,4.9,37
Mobilní telefon Apple iPhone 16 Pro Max 256 GB černý titan,4.6,19
Mobilní telefon Apple iPhone 16 Pro 256 GB pouštní titan,4.9,38
Mobilní telefon Apple iPhone 16 128 GB černý,4.9,25
Mobilní telefon Apple iPhone 16 Pro 256 GB černý titan,5,32
Mobilní telefon Apple iPhone 16 Pro 128 GB bílý titan,5,21
Mobilní telefon Apple iPhone 16 Pro 256 GB přírodní titan,5,23
Mobilní telefon Apple iPhone 16 Pro Max 256 GB bílý titan,5,4
Mobilní telefon Apple iPhone 16 Pro 256 GB bílý titan,4.3,9
Mobilní telefon Apple iPhone 16 Pro Max 256 GB přírodní titan,4.9,18
Mobilní telefon Apple iPhone 16 256 GB černý,4.8,5
Mobilní telefon Apple iPhone 16 256 GB růžový,5,5
Mobilní telefon Apple  iPhone 13 256GB Midnight,5,87
Mobilní telefon Apple  iPhone 13 256GB Pink,4.9,71
